Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
"end, last, final stage",the concluding parts of an event or occurrence,نهاية,النقطة التي يتوقف عندها شيء ما أو يكتمل.
"church, church building",a place for public (especially Christian) worship,كنيسة,مكان عبادة للمسيحيين
"bracing, brisk, energizing, energising, fresh, refreshing, refreshful, tonic",imparting vitality and energy,منعش,ينعش أو يبعث النشاط.
"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up",put up with something or somebody unpleasant,يحتمل,تحمل شيء أو شخص غير سار.
other,not the same one or ones already mentioned or implied,آخر,يُستخدم لوصف شيء مختلف أو غير معروف.
"deity, divinity, god, immortal",any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,إله,
"filth, crud, skank",any substance considered disgustingly foul or unpleasant,قذارة,شيء غير نظيف أو متسخ.
"misfortune, bad luck, tough luck, ill luck",an unfortunate state resulting from unfavorable outcomes,مصيبة,حدث أو ظرف غير سعيد أو مؤلم.
raw,not treated with heat to prepare it for eating,خام,شيء غير معالج أو غير مطبوخ، أو يمكن أن يُشير إلى شيء غير ناضج.
"road, route",an open way (generally public) for travel or transportation,طريق,ممر يمكن استخدامه للسير أو القيادة.
meat,the flesh of animals (including fishes and birds and snails) used as food,لحم,جزء من حيوان يُستخدم كطعام، وغالبًا ما يُشير إلى لحم البقر أو الدجاج أو الضأن.
"put, set, place, pose, position, lay",put into a certain place or abstract location,وضع,وضع في مكان معين أو موقع مجازي.
"male child, boy",a youthful male person,ولد,ذكر صغير، وعادة ما يُشير إلى طفل أو مراهق.
"medicine, medication, medicament, medicinal drug",(medicine) something that treats or prevents or alleviates the symptoms of disease,دواء,مادة تُستخدم لعلاج الأمراض أو تخفيف الأعراض.
"pile, heap, mound, agglomerate, cumulation, cumulus",a collection of objects laid on top of each other,كومة,مجموعة من الأشياء مكدسة فوق بعضها.
steal,take without the owner's consent,سرق,أخذ شيء من شخص آخر دون إذنه، وعادةً ما يكون ذلك بشكل غير قانوني.
damage,inflict damage upon,ضرر، دمر,إحداث ضرر أو تدمير لشيء ما، سواء كان ماديًا أو معنويًا.
"choose, take, select, pick out","pick out, select, or choose from a number of alternatives",يختار,اتخاذ قرار بشأن شيء من بين عدة خيارات.
"repair, mend, fix, bushel, doctor, furbish up, restore, touch on",restore by replacing a part or putting together what is torn or broken,يصلح,عملية إعادة شيء تالف أو معطل إلى حالته الأصلية أو الجيدة.
"man, adult male",an adult person who is male (as opposed to a woman),رجل,شخص بالغ من الجنس الذكري.
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,سميك,شيء ذو حجم كبير أو سماكة عالية.
sad,experiencing or showing sorrow or unhappiness,حزين,شعور بالأسى أو الكآبة.
grain,1/7000 pound; equals a troy grain or 64.799 milligrams,حبوب,بذور صغيرة صالحة للأكل تنمو من نباتات مثل القمح والأرز والشعير.
thin,of relatively small extent from one surface to the opposite or in cross section,رقيق,شيء ذو سمك ضئيل أو شخص قليل الوزن أو الحجم.
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,أرنب بري,حيوان بري يشبه الأرنب ولكنه أكبر وأسرع.
fine,thin in thickness or diameter,ناعم,شيء ذو جودة عالية، أو ملمس ناعم، أو حجم صغير ودقيق.
"piece, slice",a serving that has been cut from a larger portion,قطعة,جزء من كل، أو كمية صغيرة مقطوعة من شيء أكبر.
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),دهون,مادة دهنية توجد في الجسم أو في بعض الأطعمة.
"companion, comrade, fellow, familiar, associate",a person who is frequently in the company of another,رفيق,شخص يرافق شخصاً آخر، قد يكون صديقًا أو زميلاً في العمل أو في الحياة الاجتماعية.
"misplace, mislay, lose",place (something) where one cannot find it again,يفقد,وضع شيء في مكان خاطئ بحيث يصعب العثور عليه، أو فقدانه تمامًا.
campfire,a small outdoor fire for warmth or cooking (as at a camp),GAP,
"gay, jocund, jolly, jovial, merry, mirthful",full of or showing high-spirited merriment,مرح,حالة من السعادة أو الفرح التي تظهر على الشخص.
"family, family unit",primary social group; parents and children,عائلة,مجموعة من الأفراد يرتبطون بروابط الدم أو الزواج ويعيشون معًا عادة.
"flower, bloom, blossom",reproductive organ of angiosperm plants especially one having showy or colorful parts,زهرة,جزء من النبات يتفتح وينتج رائحة طيبة وألوان جميلة.
"dense, heavy, impenetrable",permitting little if any light to pass through because of denseness of matter,كثيف,شيء كثيف أو ممتلئ بحيث يصعب رؤيته من خلاله أو اختراقه.
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,فأر,حيوان صغير ذو ذيل طويل، يعيش غالبًا في المنازل أو الحقول.
believe,accept as true; take to be true,يعتقد,يقبل شيئًا على أنه صحيح أو يؤمن بفكرة أو مفهوم.
roof,a protective covering that covers or forms the top of a building,سقف,الجزء العلوي من المبنى الذي يحميه من العوامل الجوية.
"climb, climb up, mount, go up",go upward with gradual or continuous progress,يتسلق,الحركة إلى أعلى باستخدام الأيدي أو الأقدام.
"fall, autumn",the season when the leaves fall from the trees,الخريف,فصل من السنة يأتي بعد الصيف، يتميز بتساقط أوراق الأشجار.
"summer, summertime",the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,الصيف,فصل من السنة يتميز بالحرارة العالية ويأتي بعد الربيع.
"spring, springtime",the season of growth,الربيع,فصل من السنة يتميز بالدفء وازدهار النباتات ويأتي بعد الشتاء.
"correct, right",free from error; especially conforming to fact or truth,صحيح,
"winter, wintertime",the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,شتاء,أحد الفصول الأربعة، يتميز بالبرد وتساقط الثلوج في بعض المناطق.
"rain, rain down",precipitate as rain,تمطر,سقوط الماء من السحب على شكل قطرات.
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,عشب,نبات أخضر يغطي الأرض.
"wealth, wealthiness",the state of being rich and affluent; having a plentiful supply of material goods and money,ثروة,وفرة من المال أو الموارد.
row,an arrangement of objects or people side by side in a line,صف,خط من الأشياء أو الأشخاص، أو ترتيب متتابع.
run,"move fast by using one's feet, with one foot off the ground at any given time",يجري,الحركة بسرعة على القدمين.
"ignite, light",cause to start burning; subject to fire or great heat,يشعل,يسبب الاشتعال؛ يتعرض للنار أو حرارة كبيرة
fur,a garment made of the dressed hairy coat of a mammal,فراء,الشعر الكثيف الذي يغطي جلد بعض الحيوانات.
"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned",widely known and esteemed,مشهور,معروف وموضع تقدير على نطاق واسع
"flip, toss, sky, pitch",throw or toss with a light motion,يُلقي,إلقاء شيء أو تقديمه، خاصة في سياق العروض التجارية أو الرياضية.
bright,emitting or reflecting light readily or in large amounts,مشرق,ساطع أو مُضيء، ويمكن أيضًا أن يعني ذكي أو متفوق.
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,شعر,الخيوط الرفيعة التي تنمو على جلد الإنسان أو الحيوانات.
step,shift or move by taking a step,يخطو,وضع قدم على الأرض أو التحرك إلى الأمام.
first,preceding all others in time or space or degree,أول,يأتي في البداية أو في المرتبة الأولى.
"sin, sinning",an act that is regarded by theologians as a transgression of God's will,خطية,فعل أو تصرف يُعتبر خاطئًا أو غير أخلاقي وفقًا لمعتقدات دينية أو أخلاقية.
"drive, motor",travel or be transported in a vehicle,يقيّد,التحكم في توجيه مركبة أو قيادة.
"shine, beam","emit light; be bright, as of the sun or a light",يضيء,يشع الضوء بطريقة ساطعة ومباشرة.
last,coming after all others in time or space or degree or being the only one remaining,آخر,يأتي في النهاية أو يكون الأخير في ترتيب.
protect,"shield from danger, injury, destruction, or damage",يُحمي,الحفاظ على شيء من الخطر أو الأذى.
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,منشفة,قطعة من القماش تُستخدم لتجفيف الجسم أو الأسطح بعد غسلها.
"dirt, filth, grime, soil, stain, grease, grunge",the state of being covered with unclean things,وسخ,مادة غير نظيفة أو قذرة، عادة ما تكون من التراب أو الأوساخ.
"forest, wood, woods",the trees and other plants in a large densely wooded area,غابة,منطقة كبيرة مغطاة بالأشجار والنباتات.
seed,a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa,بذور,الجزء الذي ينمو ليصبح نباتًا جديدًا، عادةً يحمل الجينات للنبات.
"erstwhile, former, old, onetime, quondam, sometime",belonging to some prior time,سابق,شيء كان موجودًا في الماضي.
"reflect, shine",be bright by reflecting or casting light,ينعكس,عكس الضوء أو الصورة على سطح.
"defend, guard, hold",protect against a challenge or attack,يدافع,يحمي ضد تحدي أو هجوم
"fume, smoke",emit a cloud of fine particles,يدخن,استنشاق الدخان من سيجارة أو مادة أخرى.
"one-half, half",one of two equal parts of a divisible whole,نصف,جزء من شيء مقسم إلى قسمين
glass,a brittle transparent solid with irregular atomic structure,زجاج,مادة شفافة تُستخدم في النوافذ والأكواب.
dye,color with dye,يصبغ,تغيير لون شيء باستخدام مادة صبغ.
"large, big",above average in size or number or quantity or magnitude or extent,كبير,ذو حجم كبير.
blow,be blowing or storming,ينفخ,دفع الهواء أو شيء من الفم.
"beard, face fungus, whiskers",the hair growing on the lower part of a man's face,لحية,الشعر الذي ينمو على الجزء السفلي من وجه الرجل
"mustache, moustache",an unshaved growth of hair on the upper lip,شارب,شعر ينمو فوق الشفاه العليا.
"wind, wrap, roll, twine",wrap or coil around,يلف,الحركة حول شيء بشكل دائري.
"fly, wing",travel through the air; be airborne,يطير,الحركة في الهواء، غالبًا باستخدام الأجنحة.
"swarm, cloud",a group of many insects,سرب,مجموعة كبيرة من الحشرات أو الكائنات المتحركة معًا.
"barely, hardly, just, scarcely, scarce",by a small margin,بالكاد، بِصُعُوبَة,يحدث بشكل ضئيل.
"eagle, bird of jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,نسر,طائر جارح كبير الحجم.
"shoot, hit, pip",hit with a missile from a weapon,يصوّب,إخراج شيء بسرعة، مثل الرصاص أو كرة.
"sack, poke, paper bag, carrier bag",a bag made of paper or plastic for holding customer's purchases,كيس,كيس قوي يُستخدم لحمل المشتريات.
"diligent, persevering",quietly and steadily persevering especially in detail or exactness,مجتهد,يعمل بجد وإخلاص.
"faineant, indolent, lazy, otiose, slothful, work-shy",disinclined to work or exertion,متكاسل,غير نشط أو يميل إلى الكسل.
"dangerous, grave, grievous, serious, severe, life-threatening",causing fear or anxiety by threatening great harm,خطير,شكل تهديدًا أو خطورة.
mirror,polished surface that forms images by reflecting light,مرآة,سطح يعكس الصورة.
"lodge, wedge, stick, deposit","fix, force, or implant",يثبّت,يثبّت، يجبر، أو يغرس
fish,catch or try to catch fish or shellfish,يصطاد السمك,محاولة الإمساك بالأسماك باستخدام صنارة أو شبكة.
"small, little",limited or below average in number or quantity or magnitude or extent,صغير,ذو حجم قليل أو ضئيل.
"bone, os",rigid connective tissue that makes up the skeleton of vertebrates,عظم,جزء صلب يشكل الهيكل العظمي للكائنات.
trap,a device in which something (usually an animal) can be caught and penned,فخ,أداة تستخدم للإمساك بشيء أو حيوان.
row,propel with oars,يجذف,يدفع القارب في الماء باستخدام مجاديف.
"entirely, exclusively, solely, alone, only",without any others being included or involved,وحده,بدون الآخرين أو بمفرده.
squirrel,a kind of arboreal rodent having a long bushy tail,سنجاب,حيوان صغير يعيش في الأشجار وله ذيل كثيف.
"owl, bird of minerva, bird of night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,بومة,طائر ليلي يتميز بعيون كبيرة وقدرة على الطيران الصامت.
"clean, make clean","make clean by removing dirt, filth, or unwanted substances from",ينظف,إزالة الأوساخ أو الفوضى من شيء ما.
"hunt, run, hunt down, track down",pursue for food or sport (as of wild animals),يطارد,البحث عن شيء أو شخص بهدف الإمساك به، سواء كان حيوانًا أو هدفًا معينًا.
water,provide with water,يسقي,تزويد النباتات أو الحيوانات بالماء.
"wash, launder","cleanse with a cleaning agent, such as soap, and water",يغسل,نظيف شيء ما باستخدام الماء، وغالبًا الصابون أو المنظفات.
"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,خبز,طعام أساسي مصنوع من العجين ويعتبر مصدرًا رئيسيًا للتغذية.
gate,a movable barrier in a fence or wall,بوابة,مدخل أو مخرج كبير يمكن فتحه وإغلاقه، غالبًا جزء من سور أو سياج.
"collar, neckband",a band that fits around the neck and is usually folded over,ياقة,شريط من القماش حول عنق الملابس أو طوق يوضع حول عنق الحيوان.
"expect, look, await, wait",look forward to the probable occurrence of,يتوقع,يتوقع حدوث شيء أو يبقى منتظرًا لحدوثه.
worker,a person who works at a specific occupation,عامل,شخص يؤدي عملًا معينًا، خاصة في مجال العمل اليدوي.
"foreign, strange",relating to or originating in or characteristic of another place or part of the world,غريب,شيء من بلد آخر أو غير مألوف.
"footstep, pace, step, stride",the distance covered by a step,خطوة,المسافة التي تقطعها بخطوة واحدة أو سرعة السير.
stir,mix or add by stirring,يحرّك,لتحريك شيء ما بلطف.
tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,سن,أحد الأجزاء الصلبة في فم الإنسان أو الحيوان تستخدم في المضغ.
"always, ever, e'er",at all times; all the time and on every occasion,دائمًا,في كل الأوقات أو في جميع الحالات.
"never, ne'er",not ever; at no time in the past or future,أبدًا,لا يحدث أبدًا أو في أي وقت.
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,مشط,مشط
"seat, sit, sit down",show to a seat; assign a seat for,يجلس,وضع الجسم في وضعية الجلوس.
crane,large long-necked wading bird of marshes and plains in many parts of the world,طائر الكركي,طائر الكركي يُعرف برقَبَتِه الطويلة وقدرته على الطيران لمسافات طويلة
sometimes,on certain occasions or in certain cases but not always,أحيانًا,في بعض الأوقات أو بين الحين والآخر.
swim,travel through water,يسبح,الحركة في الماء باستخدام الجسم.
"stand, stand up",be standing; be upright,يقف,وضع الجسم في وضعية عمودية.
"apparel, wearing apparel, dress, clothes",clothing in general,ملابس,الملابس أو الأزياء التي يرتديها الشخص.
lie,"be lying, be prostrate; be in a horizontal position",يستلقي,وضع الجسم في وضع أفقي.
dive,swim under water,يغوص,النزول تحت سطح الماء
"not, non",negation of a word or group of words,ليس، لا,تستخدم لنفي الجمل.
"trouser, pant","(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",بنطال,قطعة من الملابس تغطي الساقين
"jump, leap, bound, spring",move forward by leaps and bounds,يقفز,الانتقال فجأة من مستوى إلى آخر باستخدام قوة الدفع.
"mound, hill",structure consisting of an artificial heap or bank usually of earth or stones,تل,ارتفاع طبيعي في سطح الأرض، أصغر من الجبل.
mushroom,common name for an edible agaric (contrasting with the inedible toadstool),فطر,نوع من الفطريات التي يمكن أن تكون صالحة للأكل أو سامة.
"everywhere, everyplace, all over",to or in any or all places,في كل مكان,
"mother, female parent",a woman who has given birth to a child (also used as a term of address to your mother),أم,الوالدة، الشخص الأنثوي الذي ينجب أو يتولى تربية الأطفال.
"damage, harm, hurt, scathe",the act of damaging something or someone,ضرر,الأذى أو الضرر الذي يصيب شيئًا ما.
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,وشاح,قطعة من القماش تُرتدى حول الرقبة أو الرأس للتدفئة أو الزينة.
cut,separate with or as if with an instrument,يقطع,فصل شيء إلى أجزاء باستخدام أداة حادة.
"wave, moving ridge",one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),موجة,حركة مائية متحركة، أو إشارة بواسطة اليد.
"teacher, instructor",a person whose occupation is teaching,معلم,الشخص الذي يقوم بتعليم الآخرين
"rise, lift, arise, move up, go up, come up, uprise",move upward,يرتفع,الانتقال إلى مستوى أعلى
"daughter, girl",a female human offspring,ابنة,الأنثى التي تنجبها الأم أو الأب.
"horse, equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,حصان,حيوان ثديي كبير يُستخدم عادة في الركوب أو العمل.
"set, go down, go under",disappear beyond the horizon,يهبط,الانتقال إلى مستوى أدنى
still,"with reference to action or condition; without change, interruption, or cessation",لا يزال,الاستمرارية أو عدم التغيير.
"tendon, sinew",a cord or band of inelastic tissue connecting a muscle with its bony attachment,وتر,نسيج ليفي يربط العضلات بالعظام.
already,prior to a specified or implied time,مسبقًا,حدوث شيء ما قبل الوقت الحالي.
"very, really, real, rattling",used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,حقًا,للتأكيد أو التعبير عن الصدق.
"death, decease, expiry",the event of dying or departure from life,وفاة, الموت أو انتهاء الحياة.
eat,take in solid food,يأكل,استهلاك الطعام.
fall,descend in free fall under the influence of gravity,يسقط,النزول أو الهبوط من مكان مرتفع.
true,consistent with fact or reality; not false,حقيقي,مطابق للواقع أو الحقيقة.
"drink, imbibe",take in liquids,يشرب,استهلاك السوائل.
"raise, lift, elevate, get up, bring up",raise from a lower to a higher position,يرفع,رفع شيء إلى مستوى أعلى.
"aid, assist, assistance, help",the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,مساعدة,الدعم أو المساعدة المقدمة لشخص أو مجموعة.
"a bit, a little, a trifle",to a small degree; somewhat,قليلاً,كمية صغيرة أو درجة بسيطة.
"ice, water ice",water frozen in the solid state,ثلج,ماء مجمد
saw,cut with a saw,رأى,ملاحظة أو مشاهدة شيء ما.
"soon, shortly, presently, before long",in the near future,قريبًا,بعد فترة قصيرة من الزمن.
"frost, hoar, hoarfrost, rime",ice crystals forming a white deposit (especially on objects outside),صقيع,طبقة رقيقة من الجليد تتشكل على الأسطح نتيجة لعملية تجمد بخار الماء.
"invite, ask over, ask round",invite someone to one's house,يدعو,طلب حضور شخص إلى حدث أو مكان.
"tongue, lingua, glossa, clapper",a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,لسان,العضو العضلي الموجود في الفم، يستخدم في الكلام والتذوق.
arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow,سهم,أداة رمي ذات رأس حاد تستخدم في الرماية.
"tumble, topple","fall down, as if collapsing",يسقط,السقوط بشكل غير مستقر، أو انهيار شيء.
"frequently, often, oftentimes, oft, ofttimes",many times at short intervals,كثيرًا,يحدث كثيرًا أو بشكل منتظم.
drop,to fall vertically,يسقط,السقوط عموديًا
"mouth, oral cavity, oral fissure, rima oris",the opening through which food is taken in and vocalizations emerge,فم,فتحة في الوجه تستخدم للتحدث، والأكل، والشرب.
"drop, drib, driblet",a small indefinite quantity (especially of a liquid),قطرة,كمية صغيرة من السائل.
drop,let fall to the ground,يسقط,فقدان التوازن أو ترك شيء ليتدحرج أو يسقط
fry,cook on a hot surface using fat,يقلي,طهي الطعام في الزيت الساخن.
lip,fleshy folds of tissue as those surrounding the mouth,شفاه,الجزء الخارجي من الفم.
"destroy, ruin",destroy completely; damage irreparably,يدمر,القضاء على شيء بشكل كامل أو إلحاق الضرر به.
nail,a thin pointed piece of metal that is hammered into materials as a fastener,ظفر,الهيكل الصلب الموجود في أطراف الأصابع.
