Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,"کبد، جگر","اندام غده‌ای بزرگ و قرمز-قهوه‌ای رنگ پیچیده‌ای که در سمت راست بالای شکم قرار دارد، صفرا ترشح می‌کند و بر متابولیسم پروتئین و کربوهیدرات و چربی اثر می‌گذارد. مواد دخیل در لخته شدن خون و ویتامین آ را سنتز می‌کند، مواد سمی بدن و گلبول‌های قرمز فرسوده را از بین می‌برد"
evil,morally bad or wrong,"شرورانه، منفی",از نظر اخلاقی بد یا اشتباه
"chop, chop up",cut into pieces,gap,بریدن به بخش های ریزتر
"newspaper, paper",a daily or weekly publication on folded sheets; contains news and articles and advertisements,روزنامه,یک نشریه روزانه یا هفتگی در صفحاتی تا شده; حاوی اخبار و مقالات و تبلیغات
"peak, crown, crest, top, tip, summit",the top point of a mountain or hill,"قله، بالا",راس یک کوه یا تپه
"ripe, mature",fully developed or matured and ready to be eaten or used,رسیده,به طور کامل بالغ شده یا توسعه یافته و آماده خوردن شده است
"construct, build, make",make by combining materials and parts,"ساختن، بنا کردن، ایجاد کردن، درست کردن",
slab,block consisting of a thick piece of something,gap,
"father, male parent, begetter",a male parent (also used as a term of address to your father),"پدر، بابا",والد مذکر (همچنین کلمه‌ای جهت صدا کردن پدر خود)
"heart, pump, ticker",the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,قلب,اندام ماهیچه‌ای توخالی‌ای واقع در سمت چپ قفسه سینه که کارش رساندن خون به تمام نقاط بدن است
"thousand, one thousand, 1000, m, k","denoting a quantity consisting of 1,000 items or units","هزار، ۱۰۰۰، کیلو",بیانگر مقدار ۱۰۰۰ واحد است
"run, flow, feed, course","move along, of liquids",سرازیر شدن,حرکت کردن مایعات
"visit, call in, call",pay a brief visit,سر زدن,داشتن یک ملاقات و بازدید کوتاه
"sled, sledge, sleigh",a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,سورتمه,وسیله نقلیه‌ای که معمولا به سگ‌ها و یا اسب‌ها وصل شده و توسط آن‌ها کشیده می‌شود و برای حمل و نقل روی برف به کار می‌رود
"position, place",the particular portion of space occupied by something,"موقعیت، مکان، جایگاه",بخش خاصی از فضا
"here, hither",to this place (especially toward the speaker),اینجا,به این مکان (خصوصا به سمت گوینده حرف)
here,in or at this place; where the speaker or writer is,اینجا,در این مکان; مکانی که گوینده یا نویسنده در آن قرار دارد
"second, 2nd, 2d",coming next after the first in position in space or time or degree or magnitude,"دوم، ثانوی",بعد از اول از لحاظ موقعیت در مکان یا زمان یا درجه یا اندازه
"there, at that place, in that location",in or at that place,آن‌‌جا,در آن جا یا در آن مکان
"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,آستین,قسمتی از لباس که دست را می‌پوشاند و از شانه تا دستبند را شامل می‌شود
wet,covered or soaked with a liquid such as water,"خیس، تر، مرطوب",پوشیده شده با مقداری مایع (مثلا آب) یا حالتی که مقداری مایع (مثلا آب) را جذب کرده است
"third, 3rd, tertiary",coming next after the second and just before the fourth in position,"سوم، ثالث",بعد از دوم و قبل از چهارم از لحاظ موقعیت
"there, thither",to or toward that place; away from the speaker,آن‌جا,به سمت آن مکان; به دور از گوینده جمله
appear,come into sight or view,"ظاهر شدن، پدیدار شدن",وارد محدوده دید شدن و به حالتی ممکن برای دیده شدن درآمدن
"colorful, colourful",having striking color,رنگارنگ,دارای رنگ‌های چشمگیر
pour,cause to run,"ریختن، جاری شدن",دلیل حرکت کردن آب بر روی یک سطح
"female child, girl, little girl",a youthful female person,"دختر، دختربچه",یک شخص جوان مونث (متضاد پسر)
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,پنجره,چارچوبی از چوب یا فلز که حاوی یک شیشه است و در یک دیوار یا سقف جهت ورود و خروج نور یا هوا ساخته می‌شود
"stream, well out",flow freely and abundantly,جاری شدن,حرکت به صورت آزادانه و فراوان
"damp, dampish, moist",slightly wet,"مرطوب، نمناک، تر",کمی خیس
praise,express approval of,"ستایش کردن، تحسین کردن، تمجید کردن، تعریف کردن",ابراز تایید کردن
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,ریشه,(گیاه شناسی) اندامی که معمولا زیر زمین قرار دارد و فاقد جوانه یا برگ یا گره است و باعث می‌شود گیاه به زمین بچسبد و آب و املاح معدنی را از خاک جذب می‌کند
"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs","نفس کشیدن، تنفس کردن",کشیدن هوا به داخل ریه‌ها و خارج کردن هوا از آن‌ها
line,a length (straight or curved) without breadth or thickness; the trace of a moving point,خط,طولی (مستقیم یا خمیده) بدون عرض یا ضخامت; ردی که اگر یک نقطه را به حرکت درآوریم ایجاد می‌شود
belt,a band to tie or buckle around the body (usually at the waist),کمربند,ناری که برای بستن یا قلاب زدن به دور بدن استفاده می‌شود (معمولا به دور کمر)
"stomach, tummy, tum, breadbasket",an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,"معده، شکم",اندام کیسه‌ای بزرگ و عضلانی مجرای گوارشی; ارگان اصلی گوارش
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,خشک,بدون مایعات یا رطوبت; فاقد رطوبت یا آب به مقدار معمول; یا چیزی که دیگر خیس نباشد
hook,a curved or bent implement for suspending or pulling something,قلاب,"وسیله‌ای خمیده سرکج برای گرفتن، کشیدن یا آویختن چیزی"
bake,prepare with dry heat in an oven,gap,اماده کردن با استفاده از گرما و به صورت خشک در یک فر
"gold, au, atomic number 79",a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia,"طلا، عدد اتمی ۷۹",یک عنصر زرد فلزی نرم و شکل‌پذیر (سه ظرفیتی و تک ظرفیتی); عمدتا به‌صورت دانه‌ها و قطعاتی در میان سنگ‌ها و رسوبات آبرفتی یافت می‌شود; با اکثر موادهای شیمیایی واکنش نمی‌دهد اما با کلر و تیزاب سلطانی واکنش می‌دهد
