Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
lasanya,"pasta berbentuk lembaran-lembaran tipis, ukurannya lebih lebar daripada jenis pasta lain",GAP,
tahu sutra,tahu yang memiliki tekstur yang sangat lembut,tahu sutra,Tahu yang memiliki tekstur lembut dan halus
jeli,"penganan berstruktur kenyal dan elastis, dibuat dari sari buah, gula, dan biasanya gelatin atau pektin, dapat dimakan langsung, dioleskan pada roti, atau diolah menjadi makanan lain, seperti puding dan kue",GAP,
bubur sura,"bubur dari beras dengan santan dan garam beserta lauk-pauknya, dibuat untuk menyambut datangnya tahun baru Kamariah (1 Muharam atau Asyura)",bubur asura,bubur nang diulah rahatan hidup 10 bulan muharram
selada,"sayuran berwarna hijau, biasa dimakan sbg lalap atau digunakan dl hidangan selada; Lactuca sativa",selada,"sayuran berdaun hijau yang biasanya digunakan dalam salad, burger, atau sebagai hiasan makanan"
buah naga,"kaktus tidak berduri yang batangnya berbentuk segitiga, memanjang, berwarna hijau kebiru-biruan, buahnya berbentuk lonjong yang dibungkus kulit bersisik berwarna hijau, daging buahnya berwarna putih atau merah tua dan memiliki biji hitam kecil-kecil (Hylocereus undatus)",GAP,
mi lidi,"penganan yang dibuat dari adonan terigu, sagu, puder kue, telur, dan penyedap rasa yang digiling dan dipotong tipis-tipis menyerupai lidi, digoreng, dan diberi bubuk cabai, rasanya gurih pedas",mi lidi,"camilan nang terbuat dari adonan mi yang dibentuk tipis seperti lidi, kemudian digoreng hingga renyah dan biasanya diberi bumbu gurih atau pedas"
ketupat,"makanan dibuat dr beras yg dimasukkan ke dl anyaman pucuk daun kelapa berbentuk kantung segi empat dsb, kemudian ditanak (direbus), dimakan bersama sayur sbg pengganti nasi",katupat,makanan matan baras nang dipundut lawan daun nyiur tagal ada jua nang memakai daun palam
ginang-ginang,penganan yg dibuat dr beras pulut yg dikeringkan kemudian digoreng; rengginang,GAP,
akar manis,"perdu yang batangnya bulat, daunnya majemuk dengan anak daun menjorong, perbungaannya malai dengan bunga berwarna keunguan, buahnya polong berbulu, dapat digunakan sebagai tanaman obat (Glycyrrhiza glabra)",GAP,
cincau,minuman dingin yg di antara isinya ada semacam cendol yg dibuat dr daun cincau,cincau,Minuman dari daun cincau
susu puan,susu sapi (kambing dan sebagainya) hasil pemerahan,GAP,
sawo manila,"pohon buah, batangnya kasar berwarna cokelat tua, buahnya berbentuk lonjong, bulat hingga bulat telur, berwarna cokelat kekuning-kuningan hingga kemerah-merahan, berdaging lembek, rasanya manis agak sepat; ciku; sawo kecik (Achras zapota)",GAP,
kelabu,"nama ikan air tawar (ikan darat), Ostechilus kalabau",GAP,
teh kamomil,teh yang didapatkan dari bunga kamomil kering,teh kamomil,teh herbal yang terbuat dari bunga kamomil. Teh ini dikenal karena sifatnya yang menenangkan dan sering digunakan untuk membantu tidur atau meredakan stres
jeruk siam,jeruk keprok yang buahnya bulat seperti bola dan kulitnya tipis serta licin,GAP,
nasi kucing,"nasi dengan porsi kecil, biasanya dicampur dengan tempe orek, potongan ikan atau ayam, dibungkus daun pisang, dijual di angkringan pada malam hari",nasi kucing,"makanan tiba matan Yogyakarta, Semarang, wan Surakarta. Pursi di Nasi kucing biasanya saikit banar, batambah sambal, iwak, lawan tempe, imbah tu bapundut daun pisang."
jamur konsumsi,"jamur yang dapat dimakan, mengandung protein yang bermanfaat bagi tubuh, banyak dibudidayakan; jamur pangan",GAP,
es tebak,"minuman tradisional Minang, terbuat dari adonan tepung beras, sagu, air kapur sirih, adonannya disaring sehingga berbentuk seperti mi, disajikan dengan cincau, tapai, kolang-kaling, susu, sirop, diminum dengan es",GAP,
ikan bawal,"ikan laut yang panjangnya mencapai 60 cm, badannya tinggi, oval, dan pipih, mulut kecil, ekor bercabang, memiliki satu sirip punggung, sirip dubur biasanya memiliki 2-6 duri dan 30-50 jari-jari lunak, pada individu dewasa tidak terdapat sirip perut, termasuk suku Stromateidae dan beberapa spesies anggota Carangidae dan Bramidae, hidup di dasar berpasir dan berlumpur, tersebar di perairan sirkumglobal trop",GAP,
nasi tim,nasi lembik yg dimasak dng cara ditim (yaitu ditempatkan dl mangkuk yg direbus dl kuali atau panci),GAP,
steik,"daging (sapi, babi, ikan, ayam) yang dipotong lebar kurang lebih sebesar telapak tangan, tebal 1,5 cm, dibumbui lada dan garam atau bumbu lainnya, lalu dipanggang dengan mentega sekadarnya",GAP,
makanan laut,"makanan yang berasal dari hewan laut, seperti udang, kepiting, dan berbagai jenis ikan atau tumbuhan laut",GAP,
krim,kepala susu,GAP,
bolu panggang,bolu yang dibuat dengan cara dipanggang dengan oven,GAP,
kantong teh,"kantong yang berisi daun teh, dicelupkan dalam air panas untuk membuat teh",GAP,
lumpia,"nama penganan berupa dadar yg diisi daging, rebung, dsb, lalu digulung dan digoreng",lumpia,"makanan nang terdiri dari kulit tipis yang diisi dengan campuran bahan seperti daging, sayuran, atau tahu, kemudian digulung dan digoreng hingga renyah"
tempe jagung,tempe yang dibuat dari lembaga biji jagung,GAP,
gula kubus,"gula yang berbentuk kubus kecil-kecil, terbuat dari gula pasir putih, banyak digunakan sebagai pemanis pada teh dan kopi",GAP,
susu sapi,air susu yang didapatkan dari sapi,susu sapi,susu nang diambil dari sapi
teh hijau,teh yang warnanya hijau karena peragiannya tidak sempurna sebelum dikeringkan,tih hijau,teh yang terbuat dari daun teh yang tidak melalui proses fermentasi
ikan asin,ikan yang diberi garam dan dikeringkan untuk bahan lauk,iwak karing,iwak karing adalah bahan makanan nang diulah matan daging iwak nang diawitakan lawan manambahakan banyak uyah lawan cara maawitakan ini daging iwak nang biasanya buruk dalam waktu satumat kawa disimpan di suhu kamar gasan jangka waktu babulan bulan walaupun biasanya harus ditutup rapat salain itu daging iwak nang diuyahi kaina batahan lebih lawas wan tahindar matan karusakan fisik akibat infestasi sarangga hulat lalat wan babarapa jasad ratik nang marusak lainnya
linguini,"pasta yang ukurannya lebih besar dari spageti dan pipih seperti kwetiau, tapi lebih kecil dari fetucini, disebut juga trenette atau bavette, disajikan dengan aneka makanan laut atau presto",linguini,pasta nang berbentuk seperti pita tipis dan datar
manisan,buah-buahan yang direndam dalam air gula; halwa,alua,buah-buahan nang direndam dalam air gula
bubur merah putih,"bubur yang dibuat dari beras dengan santan dan garam, yang sebagian ditambah gula merah, untuk maksud-maksud tertentu (saat pemberian nama anak yang baru lahir dan sebagainya)",GAP,
daun teh,daun dari Camelia sinensis yang pucuknya dilayukan dan dikeringkan (di pabrik dan sebagainya),daun tih,daun dari tih
tapai ketan,tapai yg dibuat dr ketan,tapai ketan,tapai nang terbuat dari ketan bawarna kuning dan rasanya asam-asam manis
apel,"pohon yg buahnya berdaging keras dan mengandung air serta berkulit lunak yg warnanya merah (kemerahan) atau kekuning (kekuningan), jika matang rasanya manis keasam-asaman; Pyrus malus",apal,buah nang warnanya merah atawa kuning atawa hijau
tepung,"barang yg lumat-lumat (krn ditumbuk, digiling, dsb)",galapung,"tepung nang biji-bijian, kacang-kacangan, atau umbi-umbian nang di giling sampai halus"
pakan,"makanan ternak (hewan, ikan piaraan)",pakan,bahan makanan yang diberikan kepada hewan untuk memenuhi kebutuhan nutrisinya
jeruk sambal,"pohon yang buahnya kecil, buahnya berkulit tebal, berwarna hijau tua dan tidak mudah dikuliti, daunnya biasa digunakan sebagai pelengkap masakan; jeruk limau (Citrus amblycarpa)",GAP,
es krim stroberi,es krim dengan rasa stroberi,GAP,
"rencah,",perencah campuran atau rempah-rempah untuk menambah sedap makanan,GAP,
filet,"potongan tipis daging (sapi, ikan, atau ayam) yang tidak bertulang",GAP,
pisang uli,pisang yang harus direbus dulu sebelum dimakan,pisang uli,pisang nang di rebus
kesemek,"pohon, buahnya dapat dimakan, manis rasanya, Diospyros kaki",kesemek,memiliki kulit nang berwarna oranye hingga merah dan daging buah yang manis
ikan bawal tawar,"ikan air tawar yang ukurannya dapat mencapai 108 cm, tubuhnya pipih memanjang, giginya mengarah ke depan, warnanya perak kehitaman dengan warna kemerahan pada bagian dada, tersebar di perairan Amerika Selatan (Sungai Amazon dan Orinoko) (Colossoma macropomum) ",GAP,
geti,"penganan dibuat dr biji wijen, dicampur tepung ketan, dibuat jenang bolu, dibentuk bulat atau persegi, rasanya manis",GAP,
kebab,sate dr daging yg dicincang,GAP,
es puter,"es krim yang massanya sedikit kasar, tidak begitu lembut, dibuat dengan jalan diputar",GAP,
imsak,"waktu mulai berpuasa, yaitu sehabis makan sahur sebelum fajar menyingsing",imsak,waktu gasan mulai puasa
es selasih,"minuman dingin terbuat dari campuran selasih (yang sudah diseduh), disiram dengan sirop",GAP,
daging gelonggongan,daging (biasanya sapi) dengan kadar air yang tinggi karena pemberian air yang berlebihan pada hewan sebelum disembelih dengan tujuan agar beratnya bertambah,GAP,
minuman stimulan,"minuman yang mengandung stimulan, seperti kafein",GAP,
pemanis nonnutritif,"pemanis untuk meningkatkan kenikmatan cita rasa produk, hanya menghasilkan sedikit energi (atau tidak sama sekali), biasanya dalam bentuk pemanis sintetis, banyak digunakan untuk mengatasi kelebihan berat dan kontrol glukosa darah bagi penderita diabetes",GAP,
puding,"penganan yang dibuat dari tepung (agar-agar, terigu, maizena, dan sebagainya)",puding,"hidangan penutup yang biasanya terbuat dari bahan-bahan seperti susu, gula nang dimasak hingga mengental"
sampanye,"minuman yg mengandung alkohol, dibuat dr sari anggur",GAP,
nasi sega,nasi yg dimasak dng bumbu dan agak kering,GAP,
articok,"perdu yang agak tinggi dengan daun yang tirus, pucuk bunganya dimakan sebagai sayuran (Cynara scolimus)",GAP,
bumbu dasar merah,"bumbu dasar berwarna merah yang dibuat dari bawang merah, bawang putih, cabai merah, gula pasir, dan garam",bumbu habang,Bumbu gasan masak ayam masak habang
minuman elektrolit,"minuman yang mengandung elektrolit, terutama natrium, ditujukan untuk mempertahankan cairan tubuh selama berolahraga",GAP,
karas,kue atau penganan,GAP,
kentang rendang,"kentang berukuran kecil, berbentuk bulat, merupakan kentang sisa panen terdahulu atau yang memang sengaja ditanam, baik untuk campuran masakan rendang atau digoreng untuk teman makan bistik",GAP,
jeruk limau,"pohon yang buahnya kecil, buahnya berkulit tebal, berwarna hijau tua dan tidak mudah dikuliti, daunnya biasa digunakan sebagai pelengkap masakan; jeruk limau (Citrus amblycarpa)",GAP,
tahu sumedang,"tahu yang berasal dari Sumedang, apabila digoreng, terdapat rongga di dalamnya, rasanya gurih",tahu sumedang,tahu nang di goreng dengan renyah habis tuh di dampingi saus penyedap
roti gandum utuh,roti yang terbuat dari gandum utuh,ruti gandum utuh,roti nang di ulah dengan gandum utuh membuat roti ini kaya serat dan vitamin
yoghurt,susu yg diproses menjadi susu asam (untuk minuman) dng cara mencampurnya dng bakteri tertentu,GAP,
sambal ulek,sambal yang cara pembuatannya menggunakan ulek,GAP,
pai,"kue berisi krim, agar-agar, dan sebagainya",GAP,
pempek dos,pempek yang dibuat hanya dengan tepung sagu (biasanya dicampur dengan terigu) dan tanpa ikan,GAP,
formula,makanan yang digunakan sebagai alternatif ASI dan sediaan nutrisi bagi bayi yang membutuhkan,GAP,
ikan patin,"ikan air tawar yang ukurannya dapat mencapai 90 cm, tubuhnya memanjang, tidak bersisik dan berkulit halus, bersungut pendek, sirip lemak kecil, kepala agak meruncing, warnanya keperakan, tersebar di Asia (Pangasius nasutus)",Iwak patin,iwak nang rancak hidup di banyu tawar biasanya hidup di sungai atau kolam
pisang kepok,"jenis pisang berbentuk besar dan gempal, mengandung antasid alami yang mampu menetralkan gangguan pencernaan, bermanfaat untuk mengatasi sembelit, sakit lambung, dan diare",GAP,
beras pulut,beras yang apabila ditanak lekat-lekat,baras lakatan,"baras pulut, amun dimasak biasanya jadi jarikit"
daging pelana,"potongan daging mulai dari bagian punggung hingga bagian panggul, bentuknya menyerupai pelana",GAP,
risoto,"nasi yang dimasak dalam kaldu daging atau boga bahari, dapat ditambahkan safron atau tinta cumi agar berwarna kuning atau hitam, biasanya disajikan dengan potongan daging, ikan, dan keju parmesan sebagai pelengkap",risoto,"hidangan nang dimasak dengan cara khusus, menggunakan kaldu untuk menciptakan tekstur yang creamy dan lembut"
gula,"bahan pemanis yg biasanya berbentuk kristal (butir-butir kecil) yg dibuat dr air tebu, aren, atau nyiur",gula,gula adalah sabuting karbohidrat sadarhana nang jadi sumbar energi wan komoditas badagang nang utama gula paling banyak dijual dalam bantuk kristal sukrosa padat gula dipakai gasan maubah rasa jadi manis wan kaadaan makanan atawa minuman gula sadarhana nang kaya glukosa nang diulah matan sukrosa lawan enzim atawa hidrolisis asam manyimpan energi nang cagar dipakai ulih sel
daging sapi,daging dari sapi,daging sapi,daging dari sapi
tengteng,"penganan dr kacang tanah, wijen, dsb yg diaduk dan dimasak dng gula, dikeringkan, kemudian dipotong-potong; ting-ting",GAP,
beriani,"nasi yang dimasak bersama daging atau ayam, sayuran, dan bumbu, biasanya dimasak dari beras basmati yang berasal dari India",GAP,
diet sehat,pola makan untuk menjaga kesehatan,GAP,
beras singkong,beras yang dibuat dari singkong,GAP,
bayam badak,bayam yang besar berdaun lebar,GAP,
persik,"tanaman jenis mawar, bercabang banyak, berbunga merah jambu, buahnya berdaging tebal, berbiji tunggal, dan dapat dimakan (Prunus persica)",GAP,
nasi jamblang,nasi putih khas Cirebon yg dibungkus dengan daun jati,GAP,
kerupuk jangat,kerupuk dr irisan kulit sapi atau kerbau,GAP,
gula mentah,gula yang bentuknya kasar dan lengket terbuat dari air tebu yang direbus,GAP,
madu,cairan yang banyak mengandung zat gula yang terdapat pd sarang lebah atau bunga (rasanya manis),madu,cairan nang berasal dari lebah
teripang,"binatang laut berkulit duri (berbulu-bulu hitam) sebesar mentimun muda, Holothusia edulis",teripang,hewan laut nang kaya cancing bisa menembakan lendir
sake,"arak Jepang, dibuat dr beras yg beragi",GAP,
kopi keras,kopi yg kental dan tidak bergula,GAP,
gula merah,gula dari nira nyiur atau aren,gula habang,"sagala macam gula nang diulah matan nira, yaitu cairan nang dikaluarakan matan tumat kambang puhun matan kulawarga palma, nangkaya nyiur, hanaw, wan siwalan"
kentang tes,"kentang yang dagingnya padat dan sedikit mengandung air, khususnya untuk membuat keripik, kroket, atau kentang goreng kering",GAP,
sambal botol,sambal olahan pabrik yg dikemas dl botol,GAP,
ketambak,"ikan laut yg disebut juga bawal tambak, Stromateus niger",ketambak,iwak ini sering temukan di laut dan memiliki bentuk tubuh yang memanjang dengan warna perak keputihan.
jamur padi,"cendawan yang enak dimakan, tumbuh dari merang atau sekam padi (Volvaria volvacea)",GAP,
soto,"masakan yg kuahnya dimasak tersendiri dan rangkaian isinya antara lain daging, kentang, bawang goreng yg dimasukkan kemudian, pd waktu akan dihidangkan",soto,masakan berkuah
coklat,"pohon yg bijinya dibuat campuran minuman dsb, Theobroma cacao",suklat,suklat adalah sambatan gasan makanan nang di ulah matan bigi kakao
wajik,"penganan yg dibuat dr campuran ketan, gula, dan kelapa",wajik,"penganan yg dibuat dr campuran ketan, gula, dan kelapa"
adonan,"campuran dan adukan tepung, air gula dsb (bahan pembuat kue cucur)",adunan,"adukan tepung, santan, susu, dan lain-lain"
daging broiler,daging dari ayam broiler,GAP,
daging kurban,"daging yang berasal dari hewan kurban (sapi, kambing, domba dan sebagainya) yang disembelih pada saat hari Iduladha, dibagikan kepada orang yang berhak menerima kurban dan sebagian kepada pemberi kurban",daging kurban,"daging yang berasal dari hewan kurban (sapi, kambing, domba dan sebagainya) yang disembelih pada saat hari Iduladha, dibagikan kepada orang yang berhak menerima kurban dan sebagian kepada pemberi kurban"
manggis,"pohon yg tingginya mencapai 20--25 meter, buahnya bulat, berwarna ungu kemerah-merahan jika sudah masak rasanya manis buahnya berulas-ulas berwarna putih; Garcinia mangostana",manggis,buah tropis berukuran dua hingga tiga inci dengan daging berair nang mirip buah persik dan kenas
bakon,"daging babi (biasanya dari bagian perut atau punggung) yang diiris tipis, diawetkan, dan diasapkan",GAP,
berondong,butir-butir jagung yg digoreng tanpa minyak,GAP,
jagung putren,"jagung muda, tongkolnya belum berbiji, biasanya dibuat sayur",jagung putren,jagung nang memiliki ukuran halus dan biasanya digunakan dalam berbagai hidangan tradisional. Jagung ini memiliki rasa yang lebih manis dan tekstur yang berbeda dibandingkan dengan jagung biasa
